anchor,positive,negative
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ED RES PRINCESS COPACABANA",COPACABANA PRINSES,COOPERATIVA TRITICOLA PALMEIRENSE LTDA - COPALMA
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ - UNIDADE DE ATENDIMENTO INDEPENDENCIA,INDEPENDENSIA COOPERATIBA,ASSOCIACAO DE ENERGIA LIMPA SOLIMPIUM - SOLIMPIUM
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ - UNIDADE DE ATENDIMENTO INDEPENDENCIA,INDEPENDENSIA COOPERATIBA,LABORAN ANALISES CLINICAS LTDA - LABORAN ANALISES LABORATORIAIS
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO VANGUARDA - SICREDI VANGUARDA PR/SP/RJ - UNIDADE DE ATENDIMENTO INDEPENDENCIA,INDEPENDENSIA COOPERATIBA,VECTIS CONSULTORIA E TREINAMENTOS LTDA - VECTIS CONSULTORIA E TREINAMENTOS
IGREJA DO EVANGELHO QUADRANGULAR - CRUZADA NACIONAL DE EVANGELIZACAO,CRUZADA DE EBANJELIZACAO,IGREJA DO EVANGELHO QUADRANGULAR - CRUZADA NAC DE EVANGELIZACAO
IGREJA DO EVANGELHO QUADRANGULAR - CRUZADA NACIONAL DE EVANGELIZACAO,CRUZADA DE EBANJELIZACAO,IGREJA DO EVANGELHO QUADRANGULAR - CRUZADA NACIONALDE EVANGELIZACAO
IGREJA DO EVANGELHO QUADRANGULAR - CRUZADA NACIONAL DE EVANGELIZACAO,CRUZADA DE EBANJELIZACAO,CONGREGACAO CRISTA NO BRASIL - VILA BRITO
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP - SABESP,SABESP,BESIX - BESIX
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP - SABESP,SABESP,IB ALIMENTOS LTDA - CPD IMPERADOR
COMPANHIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO - SABESP - SABESP,SABESP,INSTITUTO NASCE - CASA AMPARO
FERNANDO  NASCIMENTO   FERREIRA - GRUPO. NET. F.K,GRUPO N,BESIX - BESIX
FERNANDO  NASCIMENTO   FERREIRA - GRUPO. NET. F.K,GRUPO N,MILI S/A - MILI
FERNANDO  NASCIMENTO   FERREIRA - GRUPO. NET. F.K,GRUPO N,INSTITUTO NASCE - CASA AMPARO
COOPERATIVA DE CREDITO UNIAO DO CENTRO OESTE DE MINAS LTDA. - SICOOB CENTRO UNIAO - SICOOB CENTRO UNIAO,UNIAO SICOOB,AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH
COOPERATIVA DE CREDITO UNIAO DO CENTRO OESTE DE MINAS LTDA. - SICOOB CENTRO UNIAO - SICOOB CENTRO UNIAO,UNIAO SICOOB,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
COOPERATIVA DE CREDITO UNIAO DO CENTRO OESTE DE MINAS LTDA. - SICOOB CENTRO UNIAO - SICOOB CENTRO UNIAO,UNIAO SICOOB,INSTITUTO ACAO SOCIAL - IAS
COMERCIO DE MEDICAMENTOS BRAIR LTDA - SAO JOAO FARMACIAS,SAO JOAO FARAMSIA,COMERCIO DE MEDICAMENTOS BRAIR LTDA - SAO JOAO FARMACIAIS
COMERCIO DE MEDICAMENTOS BRAIR LTDA - SAO JOAO FARMACIAS,SAO JOAO FARAMSIA,ASSOCIACAO ANTONIO E MARCOS CAVANIS - INTERNATO NOSSA SENHORA APARECIDA
COMERCIO DE MEDICAMENTOS BRAIR LTDA - SAO JOAO FARMACIAS,SAO JOAO FARAMSIA,AGROPASTORIL JOTABASSO LTDA - FAZENDA SAO MAXIMO
ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS - CASAS PERNAMBUCANAS,PERNAMBUCANAS,BANCO SANTANDER (BRASIL) S.A. - GUANAMBI-BA
ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS - CASAS PERNAMBUCANAS,PERNAMBUCANAS,DEPARTAMENTO MUNICIPAL DE HABITACAO - DEMHAB
ARTHUR LUNDGREN TECIDOS S A CASAS PERNAMBUCANAS - CASAS PERNAMBUCANAS,PERNAMBUCANAS,ASSOCIACAO CAMPINEIRA DE SKATE - ACSKT
BANCO DO ESTADO DO RIO GRANDE DO SUL SA - BANRISUL,BANCO DO ESTADO DO RGS,BANCO DO ESTADO DO RIO GRANDE DO SUL SA - AGENCIA CAIBATE
BANCO DO ESTADO DO RIO GRANDE DO SUL SA - BANRISUL,BANCO DO ESTADO DO RGS,BANCO DO ESTADO DO RIO GRANDE DO SUL SA - AGENCIA FORO CENTRAL
BANCO DO ESTADO DO RIO GRANDE DO SUL SA - BANRISUL,BANCO DO ESTADO DO RGS,BANCO DO ESTADO DO RIO GRANDE DO SUL SA - AGENCIA VALE DO SOL
SERVICO DE CIRURGIA & SAUDE LTDA - CIRURGIA & SAUDE,CIRURGIA SAUDE,HUMANA SAUDE LTDA - HUMANA SAUDE SUL
SERVICO DE CIRURGIA & SAUDE LTDA - CIRURGIA & SAUDE,CIRURGIA SAUDE,UNETRAL SA - POSTO UNIAO
SERVICO DE CIRURGIA & SAUDE LTDA - CIRURGIA & SAUDE,CIRURGIA SAUDE,CRBS S/A - CDC CACERES
MITRA ARQUIDIOCESANA DE PELOTAS - SEMINARIO SAO FRANCISCO DE PAULA,SEMINARIO SAO FRANSISCO,CONGREGACAO DE SANTA CRUZ - COMUNIDADE DOM AMANDO
MITRA ARQUIDIOCESANA DE PELOTAS - SEMINARIO SAO FRANCISCO DE PAULA,SEMINARIO SAO FRANSISCO,MITRA DIOCESANA DE JALES - COMUNIDADE SAO JUDAS TADEU
MITRA ARQUIDIOCESANA DE PELOTAS - SEMINARIO SAO FRANCISCO DE PAULA,SEMINARIO SAO FRANSISCO,ASSOCIACAO SAO JOSE - COLEGIO NOSSA SENHORA DO ROSARIO
SANCA COMERCIO ATACADISTA E VAREJISTA DE COSMETICOS LTDA - SANCA DISTRIBUIDOR,SANCA,BESIX - BESIX
SANCA COMERCIO ATACADISTA E VAREJISTA DE COSMETICOS LTDA - SANCA DISTRIBUIDOR,SANCA,INSTITUTO NASCE - CASA AMPARO
SANCA COMERCIO ATACADISTA E VAREJISTA DE COSMETICOS LTDA - SANCA DISTRIBUIDOR,SANCA,MILI S/A - MILI
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN - CORSAN,CORSAN CONPANHIA,GRAZZIOTIN S A - FRANCO GIORGI MODA MASCULINA
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN - CORSAN,CORSAN CONPANHIA,GRAZZIOTIN S A - POR MENOS
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN - CORSAN,CORSAN CONPANHIA,GRAZZIOTIN S A - TOTTAL
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO SAO VICENTE,ADVOGADOS SAO VICENTE,ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO PORTO FELIZ
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO SAO VICENTE,ADVOGADOS SAO VICENTE,ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO PEDREIRA
ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO SAO VICENTE,ADVOGADOS SAO VICENTE,ORDEM DOS ADVOGADOS DO BRASIL - SECCAO DE SAO PAULO - SUB SECCAO SALTO
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD HORTOLANDIA - CENTRAL,UNIAO IGREJA ADVENTISTA,UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD SANTA FE
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD HORTOLANDIA - CENTRAL,UNIAO IGREJA ADVENTISTA,UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD SIMONSEN
UNIAO CENTRAL BRASILEIRA DA IGREJA ADVENTISTA DO SETIMO DIA - IASD HORTOLANDIA - CENTRAL,UNIAO IGREJA ADVENTISTA,CONGREGACAO CRISTA NO BRASIL - CACHOEIRA
SOMA BRANDS BRASIL LTDA. - FARM,FARN,BESIX - BESIX
SOMA BRANDS BRASIL LTDA. - FARM,FARN,MILI S/A - MILI
SOMA BRANDS BRASIL LTDA. - FARM,FARN,GRAZZIOTIN S A - POR MENOS
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO DEXIS SICREDI DEXIS - UNIDADE DE ATENDIMENTO DE LONDRINA HIGIENOPOLIS,ATENDIMENTO LONDRINA,COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO DEXIS SICREDI DEXIS - UNIDADE DE ATENDIMENTO LONDRINA SANTOS DUMONT
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO DEXIS SICREDI DEXIS - UNIDADE DE ATENDIMENTO DE LONDRINA HIGIENOPOLIS,ATENDIMENTO LONDRINA,INSTITUTO NASCE - CASA AMPARO
COOPERATIVA DE CREDITO POUPANCA E INVESTIMENTO DEXIS SICREDI DEXIS - UNIDADE DE ATENDIMENTO DE LONDRINA HIGIENOPOLIS,ATENDIMENTO LONDRINA,CENTRO AVAREENSE S C - CENTRO AVAREENSE
COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA - ESKIMO - ATACADAO TRES RIOS/RJ,ESKIMO SORBETE,KORPAY SA - KORPAY
COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA - ESKIMO - ATACADAO TRES RIOS/RJ,ESKIMO SORBETE,BABY WORLD LTDA - GARMO
COMERCIO E INDUSTRIA DE SORVETES ESKIMO LTDA - ESKIMO - ATACADAO TRES RIOS/RJ,ESKIMO SORBETE,INSTITUTO NASCE - CASA AMPARO
CAMED MICROCREDITO E SERVICOS LTDA - FISCAL@CAMEDMICROCREDITO.COM.B,CAMED SERBICOS,GRAZZIOTIN S A - TOTTAL
CAMED MICROCREDITO E SERVICOS LTDA - FISCAL@CAMEDMICROCREDITO.COM.B,CAMED SERBICOS,GRAZZIOTIN S A - PORMENOS
CAMED MICROCREDITO E SERVICOS LTDA - FISCAL@CAMEDMICROCREDITO.COM.B,CAMED SERBICOS,SINOSCAR SA - SINOSCAR MONTENEGRO
DIAGNOSTICOS DA AMERICA S.A . - LAMINA,LAMINA SA,RESIDENCIAL PHOENIX - PHOENIX
DIAGNOSTICOS DA AMERICA S.A . - LAMINA,LAMINA SA,KORPAY SA - KORPAY
DIAGNOSTICOS DA AMERICA S.A . - LAMINA,LAMINA SA,EOL - EOL
MITRA DIOCESANA DE JALES - COMUNIDADE SANTO ANTONIO,MITRA JALES,MILI S/A - MILI
MITRA DIOCESANA DE JALES - COMUNIDADE SANTO ANTONIO,MITRA JALES,RESIDENCIAL PHOENIX - PHOENIX
MITRA DIOCESANA DE JALES - COMUNIDADE SANTO ANTONIO,MITRA JALES,EOL - EOL
CONGREGACAO CRISTA NO BRASIL - CASA DE ORACAO PARQUE SANTA EDWIGES,PARKE ORACAO,BLANC RESIDENCE - BLANC RESIDENCE
CONGREGACAO CRISTA NO BRASIL - CASA DE ORACAO PARQUE SANTA EDWIGES,PARKE ORACAO,AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH
CONGREGACAO CRISTA NO BRASIL - CASA DE ORACAO PARQUE SANTA EDWIGES,PARKE ORACAO,RESIDENCIAL PHOENIX - PHOENIX
TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORACAO S.A. - VIVARA,BIVARA PRESENTES,INSTITUTO NASCE - CASA AMPARO
TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORACAO S.A. - VIVARA,BIVARA PRESENTES,BLANC RESIDENCE - BLANC RESIDENCE
TELLERINA COMERCIO DE PRESENTES E ARTIGOS PARA DECORACAO S.A. - VIVARA,BIVARA PRESENTES,GRAZZIOTIN S A - POR MENOS
ATACADAO S.A. - ATACADAO,ATACADÃO SUPERMERCADO,ATACADAO S.A. - O ATACADAO
ATACADAO S.A. - ATACADAO,ATACADÃO SUPERMERCADO,WMS SUPERMERCADOS DO BRASIL LTDA. - ATACADAO
ATACADAO S.A. - ATACADAO,ATACADÃO SUPERMERCADO,COMERCIAL DELTA PONTO CERTO LTDA - SUPERMERCADO SEMPRE VALE
SERVICO DE INVESTIGACAO DIAGNOSTICA SIDI LTDA - SIDI MEDICINA POR IMAGEM,SIDI MEDICINA IMAGEM,INSTITUTO AGENTE MUDA - I AM
SERVICO DE INVESTIGACAO DIAGNOSTICA SIDI LTDA - SIDI MEDICINA POR IMAGEM,SIDI MEDICINA IMAGEM,M@RANHAO TELECOM LTDA - LOOP FIBRA
SERVICO DE INVESTIGACAO DIAGNOSTICA SIDI LTDA - SIDI MEDICINA POR IMAGEM,SIDI MEDICINA IMAGEM,FARMACIA ANDRADE LTDA - DROGARIA BEM POPULAR BRASIL
RIBEIRO VEICULOS S/A - RIVESA,RIB VEICULOS,INSTITUTO NASCE - CASA AMPARO
RIBEIRO VEICULOS S/A - RIVESA,RIB VEICULOS,SR REPRESENTACAO COMERCIAL DE VEICULOS LTDA - XTREME VEICULOS
RIBEIRO VEICULOS S/A - RIVESA,RIB VEICULOS,UNETRAL SA - POSTO UNIAO
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS LTDA",AL PARK EMPREENDIMENTOS,NAT PARK EMPREENDIMENTO SPE LTDA - NAT PARK EMPREENDIMENTO
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS LTDA",AL PARK EMPREENDIMENTOS,AROEIRA EMPREENDIMENTOS SA - AROEIRA EMPREENDIMENTOS
"ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS S.A. - ALLPARK EMPREENDIMENTOS, PARTICIPACOES E SERVICOS LTDA",AL PARK EMPREENDIMENTOS,JC INCORPORADORA LTDA - CASAGRANDE EMPREENDIMENTOS
STAY SELECT SERVICOS LTDA - SELECT IMOB,STAY IMOB,BLANC RESIDENCE - BLANC RESIDENCE
STAY SELECT SERVICOS LTDA - SELECT IMOB,STAY IMOB,TIM CAR LIMITADA - TIM CAR
STAY SELECT SERVICOS LTDA - SELECT IMOB,STAY IMOB,RESIDENCIAL PHOENIX - PHOENIX
SAPORE S.A. - GRAN SAPORE BR BRASIL S.A,SAPORE BR,CRBS S/A - CDC CACERES
SAPORE S.A. - GRAN SAPORE BR BRASIL S.A,SAPORE BR,SAPORE S.A. - CR 1324
SAPORE S.A. - GRAN SAPORE BR BRASIL S.A,SAPORE BR,SAPORE S.A. - CR 1331
DIAGNOSTICOS DA AMERICA S.A . - BRONSTEIN,BRONSTEIN SA,BESIX - BESIX
DIAGNOSTICOS DA AMERICA S.A . - BRONSTEIN,BRONSTEIN SA,CRBS S/A - CDC CACERES
DIAGNOSTICOS DA AMERICA S.A . - BRONSTEIN,BRONSTEIN SA,EDIFICIO MIRIAM - LOFT 351
EDIFICIO RESIDENCIAL ALAMEDA JOBIM - EDIFICIO RESIDENCIAL ALAMEDA JOBIM,ALAMEDA JOBIM,DAVI E DE SOUZA LANCHONETE - REI BURGUER
EDIFICIO RESIDENCIAL ALAMEDA JOBIM - EDIFICIO RESIDENCIAL ALAMEDA JOBIM,ALAMEDA JOBIM,SUED JOSE DE AMORIM - LANCHONETE AMORIM
EDIFICIO RESIDENCIAL ALAMEDA JOBIM - EDIFICIO RESIDENCIAL ALAMEDA JOBIM,ALAMEDA JOBIM,R RODRIGUES DE ALMEIDA - MERCADINHO LR
COMERCIO DE COMBUSTIVEIS NEVOEIRO LTDA - REDE NEVOEIRO,NEVOEIRO COMBUSTIVEIS LTDA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA - POSTO CONASA
COMERCIO DE COMBUSTIVEIS NEVOEIRO LTDA - REDE NEVOEIRO,NEVOEIRO COMBUSTIVEIS LTDA,J G PEREIRA COMERCIO DE COMBUSTIVEL LTDA - AUTO POSTO TX III
COMERCIO DE COMBUSTIVEIS NEVOEIRO LTDA - REDE NEVOEIRO,NEVOEIRO COMBUSTIVEIS LTDA,MUCURIPE COMERCIO DE COMBUSTIVEIS LTDA - POSTO PARINTINS
C&A MODAS S.A. - C&A MODAS,C&A MODAS S.A.,C&A MODAS S.A. - C&A
C&A MODAS S.A. - C&A MODAS,C&A MODAS S.A.,C&A MODAS S.A. - C E A
C&A MODAS S.A. - C&A MODAS,C&A MODAS S.A.,C&A MODAS S.A. - CEA
COMERCIAL GENTIL MOREIRA S A - CASA MOREIRA,CASA GENTIL MOREIRA,RESIDENCIAL PHOENIX - PHOENIX
COMERCIAL GENTIL MOREIRA S A - CASA MOREIRA,CASA GENTIL MOREIRA,ALBERT MULLER GUEDES DA SILVA - CASA NOBRE
COMERCIAL GENTIL MOREIRA S A - CASA MOREIRA,CASA GENTIL MOREIRA,R RODRIGUES DE ALMEIDA - MERCADINHO LR
CONSORCIO EASY SOLAR - EASY SOLAR,CONSORCIO SOLAR,CONSORCIO INTEGRA 5A MENINOS - CONSORCIO INTEGRA 5A MENINOS
CONSORCIO EASY SOLAR - EASY SOLAR,CONSORCIO SOLAR,GRAZZIOTIN S A - TOTTAL CASA & CONFORTO
CONSORCIO EASY SOLAR - EASY SOLAR,CONSORCIO SOLAR,INSTITUTO CRIANDO ARTE - IAC
GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS S.A - GAZIN S.A.,GAZIN Móveis e Eletrodomésticos,GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS S.A - GAZIN
GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS S.A - GAZIN S.A.,GAZIN Móveis e Eletrodomésticos,J ALVES E OLIVEIRA LTDA - ZENIR MOVEIS E ELETROS
GAZIN INDUSTRIA E COMERCIO DE MOVEIS E ELETRODOMESTICOS S.A - GAZIN S.A.,GAZIN Móveis e Eletrodomésticos,AC EQUIPAMENTOS E ELETRODOMESTICOS LTDA - AC COMERCIO DEPOSITO
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - CENTRO DE VIDA SAUDAVEL,BIDA SAUDAVEL,LAR VICENTINO DE UBATUBA - CAVALO MARINHO
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - CENTRO DE VIDA SAUDAVEL,BIDA SAUDAVEL,LAR VICENTINO DE UBATUBA - LAR VICENTINO
INSTITUICAO PAULISTA ADVENTISTA DE EDUC E ASS SOCIAL - CENTRO DE VIDA SAUDAVEL,BIDA SAUDAVEL,SERV ASSISTENCIA E SEG SOCIAL MUNICIPIARIOS DE FRANCA - SASSOM
MITRA DIOCESANA DE SAO CARLOS - PAROQUIA SAO NICOLAU DE FLUE,MITRA DIOCESANA,MITRA DIOCESANA DE SANTO ANDRE - CAIXA COMUM PRESBITEROS DIOCESANOS
MITRA DIOCESANA DE SAO CARLOS - PAROQUIA SAO NICOLAU DE FLUE,MITRA DIOCESANA,MITRA DIOCESANA DE SAO CARLOS - SEMINARIO PROPEDEUTICO
MITRA DIOCESANA DE SAO CARLOS - PAROQUIA SAO NICOLAU DE FLUE,MITRA DIOCESANA,MITRA DIOCESANA DE EREXIM - PAROQUIA SANTA ISABEL DA HUNGRIA
S.A. (VIACAO AEREA RIO-GRANDENSE) - FALIDA - VARIG,VARIG,RESIDENCIAL PHOENIX - PHOENIX
S.A. (VIACAO AEREA RIO-GRANDENSE) - FALIDA - VARIG,VARIG,MILI S/A - MILI
S.A. (VIACAO AEREA RIO-GRANDENSE) - FALIDA - VARIG,VARIG,IB ALIMENTOS LTDA - CPD IMPERADOR
BIAGRO COMERCIO E DISTRIBUICAO DE INSUMOS AGROPECUARIOS LTDA - BIAGRO,BIAGRO,BESIX - BESIX
BIAGRO COMERCIO E DISTRIBUICAO DE INSUMOS AGROPECUARIOS LTDA - BIAGRO,BIAGRO,MILI S/A - MILI
BIAGRO COMERCIO E DISTRIBUICAO DE INSUMOS AGROPECUARIOS LTDA - BIAGRO,BIAGRO,TIM CAR LIMITADA - TIM CAR
MITRA DIOCESANA DE SAO CARLOS - PAROQUIA DE SAO JUDAS TADEU,SAO CARLOS PAROQUIA,BISPADO DE RIO PRETO - PAROQUIA SAO BENEDITO
MITRA DIOCESANA DE SAO CARLOS - PAROQUIA DE SAO JUDAS TADEU,SAO CARLOS PAROQUIA,MITRA DIOCESANA DE SAO CARLOS - PAROQUIA SENHOR BOM JESUS
MITRA DIOCESANA DE SAO CARLOS - PAROQUIA DE SAO JUDAS TADEU,SAO CARLOS PAROQUIA,ACAO SOCIAL PAROQUIAL - ASPA SUPERENSE
COMERCIAL DE HORTIFRUTI ANDRADE RIBEIRO LTDA - RA AGRONEGOCIOS,COMERCIAL ANDRADE,IB ALIMENTOS LTDA - CPD IMPERADOR
COMERCIAL DE HORTIFRUTI ANDRADE RIBEIRO LTDA - RA AGRONEGOCIOS,COMERCIAL ANDRADE,INSTITUTO NASCE - CASA AMPARO
COMERCIAL DE HORTIFRUTI ANDRADE RIBEIRO LTDA - RA AGRONEGOCIOS,COMERCIAL ANDRADE,INSTITUTO AGENTE MUDA - I AM
COOPERATIVA CENTRAL AURORA ALIMENTOS - AURORA COOP,AURORA COOPERATIVA,INSTITUTO NASCE - CASA AMPARO
COOPERATIVA CENTRAL AURORA ALIMENTOS - AURORA COOP,AURORA COOPERATIVA,COOPERATIVA MISTA SAO LUIZ LTDA - COOPERMIL
COOPERATIVA CENTRAL AURORA ALIMENTOS - AURORA COOP,AURORA COOPERATIVA,G. J. LAZAROTO - AGRICOLA LAZAROTTO
SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA - PENITENCIARIA II DE ITAPETININGA,ADMINISTRACAO PENITENSIARIA,SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA - PENITENCIARIA DE TAIUVA
SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA - PENITENCIARIA II DE ITAPETININGA,ADMINISTRACAO PENITENSIARIA,SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA - PENITENCIARIA DE CAPELA DO ALTO
SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA - PENITENCIARIA II DE ITAPETININGA,ADMINISTRACAO PENITENSIARIA,SAO PAULO SECRETARIA DA ADMINISTRACAO PENITENCIARIA - PENITENCIARIA DE LIMEIRA
IGREJA MISSIONARIA UNIDA DO BRASIL - IGREJA MISSIONARIA UNIDA DO BRASIL,IGREJA MISIONARIA,AMIR ASSOCIACAO MOVIMENTAR - MIRE CHURCH
