legal_company_name,user_input,label
BANCO BRADESCO S.A. - AG PALMEIRA DOS INDIOS,BRADESCO AG,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG,1
"BANCO BRADESCO S.A. - BRADESCO PAA CRISTOPOLIS, BA",BRADESCO BA,0
"BANCO BRADESCO S.A. - BRADESCO AG. ANGICAL, BA",BRADESCO BA,1
VESTE S.A. ESTILO - ESTOQUE,BESTE S.A.,0
COOPERATIVA DE CREDITO UNICRED VALE LTDA UNICRED VALE - PAC BELEM,BESTE S.A.,1
BANCO BRADESCO S.A. - BRADESCO AG. CENTRO EMPRESARIAL MARIO HENRIQUE SIMONSEN,BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
"BANCO BRADESCO S.A. - AGENCIA EMPRESAS MOGI GUACU - URB. MOGI GUACU, SP",BRADESCO MOJI,0
BANCO BRADESCO S.A. - BRADESCO AG CAMBUCI,BRADESCO MOJI,1
BANCO BRADESCO S.A. - BRADESCO AG. MURITIBA EST UNIF,BRADESCO MURITIBA,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO MURITIBA,1
"BANCO BRADESCO S.A. - BRADESCO PA ITATIRA - D.M.DE LAGOA DO MATO, CE",BRADESCO LAGOA,0
BANCO BRADESCO S.A. - BRADESCO AG. PRIME BORGES LAGOA,BRADESCO LAGOA,1
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA NOSSA SENHORA MAE DO SALVADOR,PAROQUIA NOSSA,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA NOSSA SENHORA DAS GRACAS,PAROQUIA NOSSA,1
"BANCO BRADESCO S.A. - BRADESCO PA AREIA BRANCA, SE",BRADESCO S.A.,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO S.A.,1
MITRA DIOCESANA DE CAMPO LIMPO - PAROQUIA SAO PEDRO E SAO PAULO,PAROKIA SAO PEDRO,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SAO PEDRO APOSTOLO,PAROKIA SAO PEDRO,1
IGREJA MESSIANICA MUNDIAL DO BRASIL - IGREJA MESSINICA MUNDIAL DO BRASIL,IGREJA MESIANICA DO BRASIL,0
IGREJA MESSIANICA MUNDIAL DO BRASIL - IGREJA MESSIANICA MUNDIAL DO BRASIL,IGREJA MESIANICA DO BRASIL,1
BANCO BRADESCO S.A. - BRADESCO AG VIANA,BRADESCO AG V,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG V,1
"BANCO BRADESCO S.A. - BRADESCO PA URUCUIA, MG",BRADESCO MG,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO MG,1
"BANCO BRADESCO S.A. - PA PREFEITURA DE GUARULHOS - SECRETARIA DE EDUCACAO, SP",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PAA NOVA BRASILANDIA, MT",BRADESCO NOBA BRASIL,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO NOBA BRASIL,1
HAPVIDA ASSISTENCIA MEDICA S.A. - LAVANDERIA,HAPVIDA SA,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPVIDA,HAPVIDA SA,1
"BANCO BRADESCO S.A. - BRADESCO PAA SANTANA DE CATAGUASES, MG",BRADESCO PA SANTANA,0
BANCO BRADESCO S.A. - BRADESCO AG. SANTANA,BRADESCO PA SANTANA,1
"BANCO BRADESCO S.A. - BRADESCO PAA CAPELA NOVA, MG",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA - SOMBRIO, SC",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SAO GABRIEL,PAROQUIA,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA NOSSA SENHORA APARECIDA,PAROQUIA,1
HAPVIDA ASSISTENCIA MEDICA S.A. - VIDA & IMAGEM ANAPOLIS,HAPBIDA ANAPOLIS,0
HAPVIDA ASSISTENCIA MEDICA S.A. - CLINICA ANAPOLIS,HAPBIDA ANAPOLIS,1
"BANCO BRADESCO S.A. - BRADESCO PA SANTA MARIA DO PARA, PA",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA PORTO DA FOLHA, SE",BRADESCO PA PORTO,0
"BANCO BRADESCO S.A. - BRADESCO PA PORTO GRANDE, AP",BRADESCO PA PORTO,1
"BANCO BRADESCO S.A. - AG. CORPORATE CAMPO GRANDE, MS",BRADESCO CORPORATE,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO CORPORATE,1
BANCO BRADESCO S.A. - BRADESCO AG. RUA DIAS DA CRUZ,BCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BCO BRADESCO,1
HAPVIDA ASSISTENCIA MEDICA S.A. - CLINICA C-147,C-147,0
CARVALHO CENTRO TERAPEUTICO LTDA - GRUPO CARVALHO,C-147,1
J.V. MAXIMUS COMERCIAL LTDA - COMERCIAL MAXIMUS,J.V. MAX,0
MAX TEM ARTESANATOS LTDA - MAX TEM & DESIGN,J.V. MAX,1
MITRA DIOCESANA DE CAMPO LIMPO - COMUNIDADE SENHOR DOS PASSOS,MITRA CANPO LIMPO,0
MITRA DIOCESANA DE CAMPO LIMPO - P NOSSA S DAS GRACAS,MITRA CANPO LIMPO,1
"BANCO BRADESCO S.A. - BRADESCO PA FLORIDA PAULISTA, SP",BRADESCO S.A.,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO S.A.,1
"BANCO BRADESCO S.A. - BRADESCO PAA JOAQUIM PIRES, PI",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA JARDIM CALIFORNIA - URB. INDAIATUBA, SP",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
BANCO BRADESCO S.A. - BRADESCO AG. VISCONDE DE PIRAJA EST UNIF,BRADESCO AG. PIRAJA,0
"BANCO BRADESCO S.A. - BRADESCO PA PIRAJUCARA - URB. TABOAO DA SERRA, SP",BRADESCO AG. PIRAJA,1
DB3 SERVICOS DE TELECOMUNICACOES S.A - DB3 TELECOM,DB3 SERBICOS,0
DB3 SERVICOS DE TELECOMUNICACOES S.A - DB3 SERVICOS DE TELECOMUNICACOES LTDA,DB3 SERBICOS,1
BANCO BRADESCO S.A. - BRADESCO AG. ARACATUBA EST UNIF,BRADESCO UNIF,0
BANCO BRADESCO S.A. - BRADESCO EST UNIF,BRADESCO UNIF,1
"BANCO BRADESCO S.A. - BRADESCO PA CEDRO, CE",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA, CAPAO DO LEAO, RS",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
BANCO BRADESCO S.A. - BRADESCO AG TABOAO DA SERRA EST UNIF,BRADESCO S.A.,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO S.A.,1
"BANCO BRADESCO S.A. - BRADESCO PA - GOIANAPOLIS, GO",BRADESCO GOINA,0
"BANCO BRADESCO S.A. - BRADESCO AG. GOIANINHA, RN",BRADESCO GOINA,1
"BANCO BRADESCO S.A. - AGENCIA EMPRESAS SAO BERNARDO DO CAMPO I - URB. SBC, SP",AJENSIA SAO BERNARDO,0
BANCO BRADESCO S.A. - AG PADRE BERNARDO,AJENSIA SAO BERNARDO,1
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA NOSSA SENHORA APARECIDA,PAROQUIA NOSSA,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA NOSSA SENHORA DAS GRACAS,PAROQUIA NOSSA,1
BANCO BRADESCO S.A. - BRADESCO AG. PRIME - CAMBUCI,BRADESCO AJENSIA PRIME,0
BANCO BRADESCO S.A. - BRADESCO AG. PRIME PIRACICABA,BRADESCO AJENSIA PRIME,1
BANCO BRADESCO S.A. - BRADESCO NEXT XII,BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA LARANJEIRAS - URB. RIO DE JANEIRO, RJ",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
BANCO BRADESCO S.A. - BRADESCO AG. AVENIDA DAS AMOREIRAS EST UNIF,BRADESCO AV,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AV,1
BANCO BRADESCO S.A. - PAB PEPSICO DO BRASIL - CUMBICA,BRADESCO CUMBICA,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO CUMBICA,1
"BANCO BRADESCO S.A. - BRADESCO PAA SAO JOAO DO SABUGI, RN",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
"BANCO BRADESCO S.A. - AGENCIA EMPRESAS IPIRANGA II - URB. SAO PAULO, SP",AJENSIA BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,AJENSIA BRADESCO,1
MITRA DIOCESANA DE CAMPO LIMPO - PAROQUIA SAO JOAO PAULO II,PAROQUIA SÃO JOÃO,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SAO JOAO EVANGELISTA,PAROQUIA SÃO JOÃO,1
"BANCO BRADESCO S.A. - AG. CORPORATE SANTOS, SP",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA RUA CACHOEIRA - URB. GUARULHOS, SP",BRADESCO S.A.,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO S.A.,1
BANCO BRADESCO S.A. - BRADESCO PA CACHOEIRAS DE MACACU,BRADESCO MACACU,0
"BANCO BRADESCO S.A. - BRADESCO PA GONCALVES DIAS,MA",BRADESCO MACACU,1
BANCO BRADESCO S.A. - BRADESCO AG. FEIRA DE SANTANA EST UNIF,BRADESCO AG. FEIRA,0
"BANCO BRADESCO S.A. - BRADESCO PA FEIRA GRANDE, AL",BRADESCO AG. FEIRA,1
BANCO BRADESCO S.A. - BRADESCO AG BOA VIAGEM EST UNIF,BRADESCO AG BOA,0
BANCO BRADESCO S.A. - BRADESCO AG BOA ESPERANCA DO SUL,BRADESCO AG BOA,1
"BANCO BRADESCO S.A. - BRADESCO PRIME DIGITAL SAO PAULO V, SP",BRADESCO DIJITAL,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO DIJITAL,1
C.VALE - COOPERATIVA AGROINDUSTRIAL - C.VALE,C.BALE COOP AGRO,0
C.VALE - COOPERATIVA AGROINDUSTRIAL - C.VALE - COOPERATIVA AGROINDUSTRIAL,C.BALE COOP AGRO,1
"BANCO BRADESCO S.A. - BRADESCO PAA DARCINOPOLIS, TO",BRADESCO TO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO TO,1
BANCO BRADESCO S.A. - BRADESCO AG GOIATUBA,BRADESCO AG G,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG G,1
HAPVIDA ASSISTENCIA MEDICA S.A. - SEDE ADMINISTRATIVA PREMIUM,HAPVIDA PREMIUM,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPVIDA,HAPVIDA PREMIUM,1
BANCO BRADESCO S.A. - BRADESCO AG PRESIDENTE ANTONIO CARLOS EST UNIF,BRADESCO ANTONIO CARLOS,0
"BANCO BRADESCO S.A. - BRADESCO PA ANTONIO CARLOS, MG",BRADESCO ANTONIO CARLOS,1
HAPVIDA ASSISTENCIA MEDICA S.A. - PA SANTA ROSA,SANTA HAPVIDA,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPVIDA,SANTA HAPVIDA,1
"BANCO BRADESCO S.A. - BRADESCO PAA DOIS IRMAOS DO TOCANTINS, TO",BRADESCO TOCANTINS DOIS,0
"BANCO BRADESCO S.A. - BRADESCO PAA DUAS ESTRADAS, PB",BRADESCO TOCANTINS DOIS,1
"BANCO BRADESCO S.A. - AGENCUA EMPRESAS ATIBAIA - URB. ATIBAIA, SP",BRADESCO ENPRESAS,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO ENPRESAS,1
"BANCO BRADESCO S.A. - BRADESCO PA RORAINOPOLIS, RR",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
"BANCO BRADESCO S.A. - BRADESCO PA VILA CAPRI - URB. ARARUAMA, RJ",BRADESCO VILA C,0
BANCO BRADESCO S.A. - BRADESCO AG VILA DIVA,BRADESCO VILA C,1
BANCO BRADESCO S.A. - BRADESCO AG. MOMBACA,BRADESCO MONB,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO MONB,1
DIOCESE DE LINS - PAROQUIA SANTA LUZIA,DIOCESE DE LINS,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HOSPITAL LINS,DIOCESE DE LINS,1
"BANCO BRADESCO S.A. - BRADESCO PA PEIXE, TO",BRADESCO PAI,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO PAI,1
"BANCO BRADESCO S.A. - BRADESCO PA CHAPADAO DO CEU, GO",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
DZG PERFURACOES LTDA - IMPACTO POCO ARTESIANO,DZG PERFURACOES,0
PERFORTEX INDUSTRIA DE RECOBRIMENTO DE SUPERFICIE LTDA - PERFORTEX,DZG PERFURACOES,1
HAPVIDA ASSISTENCIA MEDICA S.A. - CENTRAL DE ATENDIMENTO ARACATUBA,HAPBIDA,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPVIDA,HAPBIDA,1
AISERU SAUDE E PLANEJAMENTO REPRODUTIVO LTDA SCP 0003 - AISERU SAUDE E PLANEJAMENTO REPRODUTIVO LTDA SCP 0003,SAUDE E PLANEJAMENTO,0
AZA SERVICOS DE GESTAO EM SAUDE LTDA SCP AZA SAUDE COORDENACAO MEDICA ADMINISTRATIVA HGNI - 08 - AZA SERVICOS DE GESTAO EM SAUDE LTDA SCP AZA SAUDE COOR,SAUDE E PLANEJAMENTO,1
CAIXA DE ASSISTENCIA DOS ADVOGADOS DE SAO PAULO - CAASP SAO MIGUEL PAULISTA,ASISTENSIA ADBOGADOS SAO PAULO,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HOSPITAL PEDIATRICO - SAO JOSE,ASISTENSIA ADBOGADOS SAO PAULO,1
"BANCO BRADESCO S.A. - BRADESCO PA RUA XV - URB. BLUMENAU, SC",BREDESCO,0
"BANCO BRADESCO S.A. - BRADESCO PAA ROCHEDO, MS",BREDESCO,1
BANCO BRADESCO S.A. - BRADESCO AG. COLIDER EST UNIF,BRADESCO AG,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG,1
BANCO BRADESCO S.A. - BRADESCO AG VILA DIRCE,BRADESCO AG VIL,0
BANCO BRADESCO S.A. - BRADESCO AG VILA RICA,BRADESCO AG VIL,1
"BANCO BRADESCO S.A. - BRADESCO PA GUAIRACA, PR",BRADESCO P GUAIR,0
"BANCO BRADESCO S.A. - BRADESCO PA GUAREI, SP",BRADESCO P GUAIR,1
"BANCO BRADESCO S.A. - AGENCIA EMPRESAS AMERICANA - URB. AMERICANA, SP",BCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BCO BRADESCO,1
"BANCO BRADESCO S.A. - AGENCIA EMPRESAS SANTA CECILIA IV - URB. SAO PAULO, SP",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA - PARANAITA, MT",BRADESCO PANAITA,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO PANAITA,1
BANCO BRADESCO S.A. - BRADESCO AG. TRT EST UNIF,BCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BCO BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PAA TARABAI, SP",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
BANCO BRADESCO S.A. - AG PONTA PORA,BCO PONTA,0
ANCORADOURO PONTA DE CAMPINA SERVICOS LTDA - ANCORADOURO PONTA DE CAMPINA SERVICOS,BCO PONTA,1
"BANCO BRADESCO S.A. - BRADESCO PAA FRONTEIRA DOS VALES, MG",BRADESCO FRONTEIRA DOS BALES,0
"BANCO BRADESCO S.A. - BRADESCO PA FRONTEIRA, MG",BRADESCO FRONTEIRA DOS BALES,1
"BANCO BRADESCO S.A. - BRADESCO PA - AVENIDA ALPHAVILLE - URB. BARUERI, SP",BRADESCO ABENIDA,0
BANCO BRADESCO S.A. - BRADESCO AG. PRIME AVENIDA DAS AMERICAS,BRADESCO ABENIDA,1
"BANCO BRADESCO S.A. - BRADESCO PA BAIRRO SERRARIA - URB. DIADEMA, SP",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
BANCO BRADESCO S.A. - BRADESCO PA CONGONHAS - URB SAO PAULO SP,BRADESCO SAO PAULO,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO SAO PAULO,1
"BANCO BRADESCO S.A. - BRADESCO PA ITABIRINHA, MG",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA. JACTO - POMPEIA, SP",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
"BANCO BRADESCO S.A. - BRADESCO PA VERA CRUZ, RN",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA COCOTA - URB. RIO DE JANEIRO, RJ",BRADESCO RIO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO RIO,1
"BANCO BRADESCO S.A. - BRADESCO PA OLHO D AGUA DAS FLORES, AL",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
BANCO BRADESCO S.A. - BRADESCO AG. SANTA LUZIA - CENTRO EST UNIF,BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
C.VALE - COOPERATIVA AGROINDUSTRIAL - C.VALE COOPERATIVA AGROINDUSTRIAL,C.BALE COOPERATIVA,0
C.VALE - COOPERATIVA AGROINDUSTRIAL - C.VALE - COOPERATIVA AGROINDUSTRIAL,C.BALE COOPERATIVA,1
"BANCO BRADESCO S.A. - AGENCIA EMPRESAS JOAO PESSOA - URB. JOAO PESSOA, PB",AGENCIA BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,AGENCIA BRADESCO,1
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SAO PEDRO APOSTOLO,SAO P,0
MITRA DIOCESANA DE CAMPO LIMPO - P SAO SEBASTIAO,SAO P,1
BANCO BRADESCO S.A. - BRADESCO AG NOVA LONDRINA,BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
HAPVIDA ASSISTENCIA MEDICA S.A. - DEPOSITO-ARMAZEM RIBEIRAO PRETO,DEPOSITO ARMAZ,0
HAPVIDA ASSISTENCIA MEDICA S.A. - DEPOSITO - ARMAZEM SALVADOR/BA,DEPOSITO ARMAZ,1
"BANCO BRADESCO S.A. - BRADESCO PA SAO DOMINGOS, SC",BRADESCO SA,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO SA,1
BANCO BRADESCO S.A. - BRADESCO AG. ASSIS - CENTRO EST UNIF,BRADESCO ASIS SENTRO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO ASIS SENTRO,1
"BANCO BRADESCO S.A. - BRADESCO AG. CAMANDUCAIA, MG",BRADESCO AG,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG,1
"BANCO BRADESCO S.A. - BRADESCO PA JUNCO DO SERIDO, PB",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
"BANCO BRADESCO S.A. - BRADESCO PA CANDEIAS, MG",BRADESCO PA,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO PAULO, SP",BRADESCO PA,1
"BANCO BRADESCO S.A. - BRADESCO PAA SANTO EXPEDITO, SP",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
BANCO BRADESCO S.A. - BRADESCO AG TAQUARITINGA,BRADESCO AG TQTAQUI,0
BANCO BRADESCO S.A. - BRADESCO AG TAQUARAL,BRADESCO AG TQTAQUI,1
"BANCO BRADESCO S.A. - BRADESCO PA CALDAS BRANDAO, PB",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
BANCO BRADESCO S.A. - BRADESCO AG NOVA LIMA EST UNIF,BRADESCO AG,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG,1
BANCO BRADESCO S.A. - BRADESCO AG. CANAVIEIRAS EST UNIF,BRADESCO UNIF,0
BANCO BRADESCO S.A. - BRADESCO EST UNIF,BRADESCO UNIF,1
BANCO BRADESCO S.A. - BRADESCO AG. HUMAITA,BRADESCO AG. H,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG. H,1
"BANCO BRADESCO S.A. - BRADESCO PA - SHOPPING MORUMBI - URB. SAO PAULO, SP",BRADESCO PA SHOPPING,0
"BANCO BRADESCO S.A. - BRADESCO PA - SHOPPING PIRACICABA URB., SP",BRADESCO PA SHOPPING,1
BANCO BRADESCO S.A. - BRADESCO AG IVAIPORA,BRADESCO IBAIPOR,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO IBAIPOR,1
BANCO BRADESCO S.A. - BRADESCO AG CAMAQUA,BRADESCO AG,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AG,1
"BANCO BRADESCO S.A. - BRADESCO AG. CANGUCU, RS",BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"BANCO BRADESCO S.A. - BRADESCO PA CAMBUI - URB. CAMPINAS, SP",BRADESCO CNBUI,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO CNBUI,1
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPCLINICA SAO GERARDO,HAPCLINICA,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPCLINICA METROPOLITANA,HAPCLINICA,1
"BANCO BRADESCO S.A. - BRADESCO PA BARAO DE GRAJAU, MA",BANCO BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BANCO BRADESCO,1
BANCO BRADESCO S.A. - BRADESCO AG. JOAO PAULO II EST UNIF,BRADESCO AJENSIA JOAO,0
"BANCO BRADESCO S.A. - BRADESCO PA SAO JOAO, PE",BRADESCO AJENSIA JOAO,1
"BANCO BRADESCO S.A. - BRADESCO PA GUAPE, MG",BRADESCO PA G,0
"BANCO BRADESCO S.A. - BRADESCO PA MANGA, MG",BRADESCO PA G,1
BANCO BRADESCO S.A. - BRADESCO AG. PRIME RUDGE RAMOS EST UNIF,BRADESCO RAMOS,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO RAMOS,1
"BANCO BRADESCO S.A. - BRADESCO AG. PRINCESA ISABEL, PB",BRADESCO AJENSIA,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO AJENSIA,1
"BANCO BRADESCO S.A. - BRADESCO PA PARANHOS, MS",BRADESCO MS,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO MS,1
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPVIDA NOTREDAME INTERMEDICA CLINICA RIBEIRAO PRETO,HAPBIDA ASISTENSIA,0
HAPVIDA ASSISTENCIA MEDICA S.A. - HAPVIDA,HAPBIDA ASISTENSIA,1
COOPERATIVA AGRICOLA MISTA GENERAL OSORIO LTDA - ARMAZEM TAPERA,COOP JENERAL OSORIO,0
COINVESTIDORES PARTICIPACOES VII LTDA - SCP PINHEIROS 05 - SCP PINHEIROS 05,COOP JENERAL OSORIO,1
BANCO BRADESCO S.A. - BRADESCO AG. CARLITO PAMPLONA - EST. UNIF.,BRADESCO,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO,1
"VESTE S.A. ESTILO - LE LIS BLANC DEUX E JOHN,JOHN.",BESTE ESTILO,0
VESTE S.A. ESTILO - ESTOQUE,BESTE ESTILO,1
"COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP - UNIDADE DE ATENDIMENTO DA MOOCA",COOPERATIBA MOOCA,0
MUNICIPIO DE CAXAMBU DO SUL - CAXAMBU DO SUL PREF GABINETE DO PREFEITO,COOPERATIBA MOOCA,1
MITRA DIOCESANA DE CAMPO LIMPO - PAROQUIA SANTA LUZIA,PAROKIA SANTA,0
MITRA ARQUIDIOCESANA DE SAO PAULO - PAROQUIA SANTA CRUZ DAS ALMAS,PAROKIA SANTA,1
"BANCO BRADESCO S.A. - BRADESCO PA ITAPOA, SC",BRADESCO SC,0
BANCO BRADESCO S.A. - BRADESCO,BRADESCO SC,1
BANCO BRADESCO S.A. - BRADESCO AG. PRIME FARIA LIMA EST UNIF,BRADESCO AGENCIA PRIME,0
BANCO BRADESCO S.A. - BRADESCO AG. PRIME PIRACICABA,BRADESCO AGENCIA PRIME,1
BANCO BRADESCO S.A. - BRADESCO AG BURITAMA,BANCO BRADESCO,0
